id,framework,standard_id,clause_id,parent_clause_id,title,text_summary,topic,subtopic,disclosure_type,metric_type,unit_hint,applicability,source_url,source_locator,version,language,status
ifrs_s2_governance,IFRS ISSB,IFRS S2,S2-GOV,,Governance,Not stored; consult the official source at source_locator.,governance,climate_risk_management,,,,All entities,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Governance,2023,en,official_version_cited
ifrs_s2_strategy,IFRS ISSB,IFRS S2,S2-STR,,Strategy,Not stored; consult the official source at source_locator.,qualitative,climate_risks_opportunities,,,,All entities,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Strategy,2023,en,official_version_cited
ifrs_s2_risk_management,IFRS ISSB,IFRS S2,S2-RM,,Risk management,Not stored; consult the official source at source_locator.,qualitative,climate_risk_management,,,,All entities,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Risk management,2023,en,official_version_cited
ifrs_s2_metrics_targets,IFRS ISSB,IFRS S2,S2-MT,,Metrics and targets,Not stored; consult the official source at source_locator.,quantitative,ghg_emissions,,,,All entities,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Metrics and targets,2023,en,official_version_cited
ifrs_s2_climate_resilience,IFRS ISSB,IFRS S2,S2-CR,,Climate resilience and scenario analysis,Not stored; consult the official source at source_locator.,qualitative,climate_resilience,,,,All entities,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Climate resilience and scenario analysis,2023,en,official_version_cited
gri_201_2,GRI,GRI 201,201-2,,Financial implications and other risks and opportunities due to climate change,Not stored; consult the official source at source_locator.,economic,climate_risk,qualitative,climate_risks_opportunities,,Organizations reporting in accordance with GRI,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,2016,en,official_version_cited
gri_3_3,GRI,GRI 3,3-3,,Management of material topics,Not stored; consult the official source at source_locator.,governance,material_topics,qualitative,climate_risk_management,,Organizations reporting in accordance with GRI,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,2021,en,official_version_cited
