id,framework,standard_id,clause_id,parent_clause_id,title,text_summary,topic,subtopic,disclosure_type,metric_type,unit_hint,applicability,source_url,source_locator,version,language,status
hkex_c2_20,HKEX,Appendix C2,20,,Climate-related risks and opportunities,Not stored; consult the official source at source_locator.,climate,risks_opportunities,qualitative,climate_risks_opportunities,,,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,current,en,official_version_cited
hkex_c2_21,HKEX,Appendix C2,21,,Business model and value chain,Not stored; consult the official source at source_locator.,climate,business_value_chain,qualitative,climate_business_value_chain,,,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 21,current,en,official_version_cited
hkex_c2_22,HKEX,Appendix C2,22,,Strategy and decision-making,Not stored; consult the official source at source_locator.,climate,strategy_decision,qualitative,climate_strategy_decision,,,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 22,current,en,official_version_cited
hkex_c2_26,HKEX,Appendix C2,26,,Climate resilience,Not stored; consult the official source at source_locator.,climate,scenario_analysis,qualitative,climate_resilience,,,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 26,current,en,official_version_cited
hkex_c2_27,HKEX,Appendix C2,27,,Risk management,Not stored; consult the official source at source_locator.,climate,risk_management,qualitative,climate_risk_management,,,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,current,en,official_version_cited
